Topic 1 	 	Topic 2 	 	Topic 3 	 	Topic 4 	 	Topic 5 	 	Topic 6 	 	Topic 7 	 	Topic 8 	 	Topic 9 	 	Topic 10 	 	Topic 11 	 	Topic 12 	 	Topic 13 	 	Topic 14 	 	Topic 15 	 	Topic 16 	 	Topic 17 	 	Topic 18 	 	
3_1_1_1 	 0.321256 	2_2_2_1 	 0.773916 	3_1_3_1 	 0.371746 	3_1_4_2 	 0.607734 	3_1_1_1 	 0.352715 	3_1_2_1 	 0.276954 	3_1_3_1 	 0.41964 	3_1_2_1 	 0.410894 	3_1_3_2 	 0.463748 	3_1_2_2 	 0.272762 	1_1_1_1 	 0.258707 	3_1_4_1 	 0.644545 	2_1_1_2 	 0.249645 	1_1_1_3 	 0.344468 	3_1_2_1 	 0.33815 	2_1_1_2 	 0.498395 	3_1_3_1 	 0.404613 	3_1_3_1 	 0.322924 	
4_1_1_2 	 0.253773 	3_1_4_1 	 0.12345 	2_1_1_2 	 0.257055 	4_1_3_2 	 0.163674 	2_1_1_1 	 0.181832 	2_1_1_2 	 0.232487 	4_1_2_1 	 0.12384 	2_1_1_2 	 0.223774 	4_1_3_2 	 0.199198 	2_1_1_2 	 0.207967 	2_2_2_2 	 0.244412 	4_1_3_1 	 0.100151 	3_1_1_2 	 0.221212 	1_1_1_2 	 0.233243 	2_1_1_2 	 0.258332 	3_1_1_1 	 0.271881 	3_1_4_1 	 0.261883 	4_1_3_2 	 0.242861 	
2_1_1_2 	 0.193224 	3_1_3_1 	 0.0499667 	3_1_2_1 	 0.1917 	4_1_3_1 	 0.0876222 	2_1_1_2 	 0.149959 	4_1_2_2 	 0.175275 	2_1_1_1 	 0.117751 	2_1_1_1 	 0.208147 	3_1_4_2 	 0.136152 	4_1_2_2 	 0.188562 	3_1_4_1 	 0.198017 	4_1_3_2 	 0.0972078 	4_1_1_2 	 0.173869 	3_1_3_1 	 0.0897169 	4_1_2_2 	 0.185483 	3_1_2_1 	 0.114694 	4_1_3_2 	 0.194667 	4_1_2_2 	 0.193768 	
3_1_2_1 	 0.0639073 	2_1_1_1 	 0.01337 	2_2_2_2 	 0.0432879 	3_2_4_2 	 0.0633511 	4_1_1_1 	 0.143172 	4_1_1_2 	 0.0772435 	3_1_2_1 	 0.0971593 	3_2_2_1 	 0.0308872 	3_2_3_2 	 0.0483556 	3_1_3_2 	 0.115018 	1_1_2_1 	 0.0600787 	3_2_4_1 	 0.0645334 	3_1_2_2 	 0.111288 	2_2_2_2 	 0.0547446 	4_1_2_1 	 0.0748839 	4_1_1_2 	 0.0463929 	3_2_3_1 	 0.0521495 	2_1_1_2 	 0.0755803 	
3_2_1_1 	 0.0634795 	2_2_1_1 	 0.0070839 	4_1_2_2 	 0.0425317 	1_1_2_3 	 0.014278 	4_1_1_2 	 0.114509 	3_1_3_1 	 0.0691224 	3_2_3_1 	 0.0534009 	4_1_2_1 	 0.0260644 	4_1_3_1 	 0.0346994 	4_1_2_1 	 0.0700154 	1_1_2_2 	 0.0434829 	3_1_3_1 	 0.0341292 	4_1_1_1 	 0.0643519 	1_2_1_3 	 0.0501497 	3_1_3_1 	 0.0674904 	2_2_1_2 	 0.0179406 	3_2_4_1 	 0.0294424 	3_1_4_1 	 0.069054 	
4_1_1_1 	 0.0416254 	1_2_1_2 	 0.00505001 	2_2_1_2 	 0.0255674 	3_1_3_1 	 0.0102591 	3_1_2_1 	 0.0105584 	3_2_2_1 	 0.0575434 	2_1_1_2 	 0.0512361 	3_1_1_1 	 0.0211573 	4_1_2_2 	 0.0318763 	2_1_1_1 	 0.0405203 	1_1_1_2 	 0.0350188 	2_2_2_2 	 0.0104188 	4_1_2_2 	 0.0556834 	2_2_1_2 	 0.038328 	3_2_2_1 	 0.0157394 	3_1_3_1 	 0.0157996 	4_1_3_1 	 0.0164972 	4_1_3_1 	 0.0345179 	
4_1_2_2 	 0.0170615 	1_1_1_1 	 0.00494833 	3_2_3_1 	 0.010075 	1_1_2_2 	 0.00836851 	4_2_1_2 	 0.00919289 	3_1_1_1 	 0.0520131 	4_1_3_1 	 0.0499614 	2_2_1_1 	 0.0153674 	2_1_1_2 	 0.0187279 	3_2_2_2 	 0.0208682 	3_1_3_1 	 0.0282695 	3_1_2_1 	 0.00916869 	2_1_1_1 	 0.0297758 	2_2_1_1 	 0.029919 	4_1_3_2 	 0.0113838 	4_1_1_1 	 0.00918993 	2_2_2_2 	 0.0137927 	4_1_2_1 	 0.0167515 	
2_1_1_1 	 0.0114075 	1_2_1_3 	 0.00398352 	3_2_2_1 	 0.00719102 	3_1_4_1 	 0.00798139 	4_1_2_1 	 0.00727555 	3_2_3_1 	 0.0215383 	4_1_2_2 	 0.0171689 	4_1_2_2 	 0.0138713 	3_2_4_2 	 0.0105343 	4_1_3_2 	 0.0134464 	2_2_2_1 	 0.0281882 	4_1_2_1 	 0.0084449 	4_1_2_1 	 0.0189206 	2_2_2_1 	 0.0299083 	2_1_1_1 	 0.0109207 	4_1_2_2 	 0.0078483 	2_1_1_2 	 0.00850973 	2_2_2_2 	 0.0108389 	
2_2_1_2 	 0.00995338 	2_1_1_2 	 0.00358654 	2_1_1_1 	 0.00697355 	3_2_3_2 	 0.00605897 	2_2_1_1 	 0.006104 	2_1_1_1 	 0.00821261 	3_2_2_1 	 0.0166587 	4_1_1_1 	 0.0109055 	2_2_2_2 	 0.00996923 	4_1_3_1 	 0.0132122 	1_2_1_1 	 0.0200558 	3_2_3_1 	 0.00822998 	3_2_1_2 	 0.0139634 	2_1_1_1 	 0.0285157 	3_2_3_1 	 0.00880075 	3_1_4_1 	 0.00460009 	4_1_2_2 	 0.00579615 	4_2_2_2 	 0.0067131 	
